call_id,lead_id,call_date,duration_minutes,transcript,primary_objection,sentiment,risk_level,next_step_summary
CALL-3802,3802,2025-06-03 02:18:15.745207,37,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Angela: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Angela: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",We're already using another project management tool.,neutral,low,Sent product overview and case studies.
CALL-4994,4994,2025-08-25 21:42:47.745207,38,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Jennifer: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Jennifer: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect decided to postpone project to next year.",We're already using another project management tool.,negative,low,Prospect decided to postpone project to next year.
CALL-1722,1722,2025-09-13 20:02:09.745207,33,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Edwin: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Edwin: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",We need to see stronger ROI before moving forward.,neutral,medium,Added prospect to nurture sequence.
CALL-2782,2782,2025-05-11 00:31:21.745207,37,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Marie: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Marie: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Booked follow-up demo with the technical team.",We don't have budget for this right now.,positive,medium,Booked follow-up demo with the technical team.
CALL-1533,1533,2025-04-15 05:15:54.745207,30,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Michael: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Michael: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We don't have budget for this right now.,positive,low,Verbal commitment to pilot in one department.
CALL-3332,3332,2025-04-02 09:09:41.745207,35,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Reginald: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Reginald: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect decided to postpone project to next year.",Implementation time is a big risk for our team.,negative,low,Prospect decided to postpone project to next year.
CALL-846,846,2025-04-17 00:39:35.745207,22,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Christine: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Christine: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We're already using another project management tool.,positive,medium,Verbal commitment to pilot in one department.
CALL-3654,3654,2025-08-22 13:02:11.745207,27,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Rebecca: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Rebecca: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We need to see stronger ROI before moving forward.,positive,low,Verbal commitment to pilot in one department.
CALL-860,860,2025-08-28 19:56:52.745207,21,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Darren: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Darren: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",Security and compliance are a major concern for us.,positive,low,Customer asked for a proposal and pricing breakdown.
CALL-1454,1454,2025-07-01 17:26:45.745207,32,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Timothy: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Timothy: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",We're already using another project management tool.,positive,low,Customer asked for a proposal and pricing breakdown.
CALL-830,830,2025-08-24 07:20:32.745207,31,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
James: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
James: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect chose a competitor due to existing relationship.",Security and compliance are a major concern for us.,negative,low,Prospect chose a competitor due to existing relationship.
CALL-994,994,2025-03-26 18:18:12.745207,32,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Mark: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Mark: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",We're already using another project management tool.,positive,low,Customer asked for a proposal and pricing breakdown.
CALL-633,633,2025-05-29 03:52:52.745207,32,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Tammy: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Tammy: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",We're already using another project management tool.,neutral,high,Added prospect to nurture sequence.
CALL-4459,4459,2025-04-29 19:00:13.745207,40,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Michael: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Michael: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect will evaluate internally and get back.",We're already using another project management tool.,neutral,low,Prospect will evaluate internally and get back.
CALL-4764,4764,2025-10-18 18:49:20.745207,38,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Matthew: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Matthew: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect decided to postpone project to next year.",Security and compliance are a major concern for us.,negative,low,Prospect decided to postpone project to next year.
CALL-2436,2436,2025-11-14 08:45:41.745207,40,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Robert: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Robert: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We need to see stronger ROI before moving forward.,positive,medium,Verbal commitment to pilot in one department.
CALL-2230,2230,2025-06-08 01:30:02.745207,26,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Matthew: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Matthew: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect chose a competitor due to existing relationship.",We need to see stronger ROI before moving forward.,negative,low,Prospect chose a competitor due to existing relationship.
CALL-1644,1644,2025-11-18 01:35:05.745207,37,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Amanda: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Amanda: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",Security and compliance are a major concern for us.,neutral,low,Sent product overview and case studies.
CALL-3042,3042,2025-07-25 03:57:50.745207,20,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Katherine: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Katherine: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",We don't have budget for this right now.,neutral,low,Added prospect to nurture sequence.
CALL-3550,3550,2025-05-10 19:42:21.745207,31,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Anthony: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Anthony: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Booked follow-up demo with the technical team.",Implementation time is a big risk for our team.,positive,high,Booked follow-up demo with the technical team.
CALL-210,210,2025-04-25 04:16:52.745207,35,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Richard: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Richard: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We need to see stronger ROI before moving forward.,positive,medium,Verbal commitment to pilot in one department.
CALL-180,180,2025-10-11 10:44:38.745207,43,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Joseph: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Joseph: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",We're already using another project management tool.,neutral,low,Added prospect to nurture sequence.
CALL-2506,2506,2025-06-02 07:51:54.745207,22,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Stephanie: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Stephanie: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Booked follow-up demo with the technical team.",We don't have budget for this right now.,positive,high,Booked follow-up demo with the technical team.
CALL-2849,2849,2025-04-08 08:35:44.745207,23,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Tammy: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Tammy: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",We need to see stronger ROI before moving forward.,positive,high,Customer asked for a proposal and pricing breakdown.
CALL-595,595,2026-03-06 12:09:02.745207,41,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
James: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
James: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect chose a competitor due to existing relationship.",We don't have budget for this right now.,negative,medium,Prospect chose a competitor due to existing relationship.
CALL-2918,2918,2025-04-05 12:59:22.745207,41,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
David: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
David: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",We don't have budget for this right now.,neutral,medium,Sent product overview and case studies.
CALL-627,627,2026-01-11 00:55:02.745207,41,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Alec: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Alec: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect will evaluate internally and get back.",Implementation time is a big risk for our team.,neutral,medium,Prospect will evaluate internally and get back.
CALL-4827,4827,2025-03-17 08:50:39.745207,40,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Kylie: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Kylie: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We don't have budget for this right now.,positive,low,Verbal commitment to pilot in one department.
CALL-3788,3788,2026-03-06 07:21:43.745207,28,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Trevor: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Trevor: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",Security and compliance are a major concern for us.,neutral,medium,Sent product overview and case studies.
CALL-881,881,2025-05-06 00:24:34.745207,32,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Martha: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Martha: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Booked follow-up demo with the technical team.",We need to see stronger ROI before moving forward.,positive,high,Booked follow-up demo with the technical team.
CALL-419,419,2025-08-18 12:11:26.745207,32,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Susan: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Susan: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We need to see stronger ROI before moving forward.,positive,low,Verbal commitment to pilot in one department.
CALL-782,782,2025-03-29 00:49:33.745207,35,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Matthew: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Matthew: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",We're already using another project management tool.,neutral,medium,Sent product overview and case studies.
CALL-4499,4499,2026-02-21 08:04:30.745207,35,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Kimberly: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Kimberly: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",We're already using another project management tool.,neutral,medium,Sent product overview and case studies.
CALL-873,873,2026-02-15 11:38:08.745207,42,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Bradley: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Bradley: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",Security and compliance are a major concern for us.,neutral,high,Added prospect to nurture sequence.
CALL-2402,2402,2025-07-24 16:21:44.745207,40,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Cynthia: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Cynthia: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect decided to postpone project to next year.",We don't have budget for this right now.,negative,low,Prospect decided to postpone project to next year.
CALL-1548,1548,2025-09-11 20:46:02.745207,41,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Paul: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Paul: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",We're already using another project management tool.,positive,medium,Customer asked for a proposal and pricing breakdown.
CALL-2883,2883,2025-11-24 12:01:40.745207,21,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Amanda: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Amanda: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Booked follow-up demo with the technical team.",Implementation time is a big risk for our team.,positive,low,Booked follow-up demo with the technical team.
CALL-3726,3726,2026-01-29 03:49:28.745207,26,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Robert: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Robert: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Booked follow-up demo with the technical team.",Implementation time is a big risk for our team.,positive,medium,Booked follow-up demo with the technical team.
